case,method,metric,mean,std,min,max
case_study_1,openloop,steady_state_error,60.423261219060294,30.388532242725322,23.43676527062561,112.20198261592888
case_study_1,openloop,steady_state_max_error,72.67097293586862,35.95292334014018,30.831624407475346,136.60786588914976
case_study_1,openloop,settling_time_s,0.0,0.0,0.0,0.0
case_study_1,openloop,peak_error,72.85561389653476,35.75687462345034,30.831624407475346,136.60786588914976
case_study_1,openloop,error_variance,441.5220920783028,422.5112979253174,41.885125459484904,1197.126286571561
case_study_1,openloop,formation_error,20.415938741695655,11.719376689443033,10.105013411230264,45.63906117076861
case_study_1,openloop,connectivity_rate,0.4219791666666667,0.11702316109279846,0.20416666666666666,0.6149621212121212
case_study_1,openloop,throughput_ratio,0.2527989577226134,0.0953635372399966,0.08879511354421205,0.41062498036617345
case_study_1,openloop,control_overhead,0.21320075757575757,0.07785171723831251,0.09747474747474745,0.3509469696969697
case_study_1,openloop,task_completion_proxy,0.003446969696969697,0.0034960158135679932,0.0,0.009280303030303031
case_study_1,openloop,system_utility,-55.47837732672209,26.45427130199374,-112.66030189989544,-23.822700081012094
case_study_1,openloop,sat_frac_mean,,,,
case_study_1,openloop,sat_frac_max,,,,
case_study_1,openloop,oscillation_proxy,0.08630301946381928,0.019199430672593748,0.06855060463255631,0.120208298396
case_study_1,pid,mean_tracking_error,29.978470708292566,7.452438338635269,15.372095156172,41.64746369007383
case_study_1,pid,max_tracking_error,111.30340393186604,52.05717897636499,51.34622794377364,187.21392326735003
case_study_1,pid,rmse_tracking_error,32.986664441374415,9.329605372114415,16.77259442073343,49.1012846272719
case_study_1,pid,steady_state_error,46.63442722564482,16.948070796212964,24.691334156388773,77.76509386066842
case_study_1,pid,steady_state_max_error,53.8982821532759,17.24130685568104,29.61888918748836,85.55426126214954
case_study_1,pid,settling_time_s,,,,
case_study_1,pid,peak_error,53.91758027339731,17.227003935321072,29.61888918748836,85.55426126214954
case_study_1,pid,error_variance,217.7637542472825,200.10415451626756,36.985453810168565,676.4249202323497
case_study_1,pid,formation_error,16.77233779159832,4.5238397371847,9.37893343369078,25.45565949180688
case_study_1,pid,connectivity_rate,0.41444128787878787,0.10832042164011677,0.21259469696969696,0.6125
case_study_1,pid,throughput_ratio,0.22728406889223404,0.08883920241384824,0.11045204688545099,0.3932329882415642
case_study_1,pid,control_overhead,0.20455176767676764,0.06565042389311021,0.10738636363636361,0.3368686868686868
case_study_1,pid,task_completion_proxy,0.0020265151515151516,0.0024382094495480327,0.0,0.007102272727272727
case_study_1,pid,system_utility,-44.67860206049696,11.415770183651857,-62.59801361257079,-21.688528589862777
case_study_1,pid,sat_frac_mean,0.346996886179959,0.02815781156404273,0.27065979870116674,0.3684123439256479
case_study_1,pid,sat_frac_max,1.0,0.0,1.0,1.0
case_study_1,pid,oscillation_proxy,0.069883843268884,0.011475874005013818,0.04541241661120766,0.08798101734128803
case_study_3,agentic,mean_tracking_error,35.010707558810346,13.337602408097178,21.157315947144692,64.97481889003174
case_study_3,agentic,max_tracking_error,154.6638900653542,104.02493252394264,59.41366385469993,376.09896666153605
case_study_3,agentic,rmse_tracking_error,40.30004360744123,17.784044299579143,22.120356792148073,82.41355862360643
case_study_3,agentic,steady_state_error,60.086871370218475,32.40019768320113,27.307654240630583,136.33924240813388
case_study_3,agentic,steady_state_max_error,77.60295283826223,33.88732817483816,43.95051039587483,147.21643609830704
case_study_3,agentic,settling_time_s,0.0,0.0,0.0,0.0
case_study_3,agentic,peak_error,77.60395754242269,33.886360226033375,43.95051039587483,147.21643609830704
case_study_3,agentic,error_variance,522.886405280748,746.4842645327736,41.678166524628395,2570.267555214193
case_study_3,agentic,formation_error,16.872731540326214,8.319641285040946,10.331900289677654,37.42748730882864
case_study_3,agentic,connectivity_rate,0.43318576388888885,0.07412126013101096,0.29678819444444443,0.51953125
case_study_3,agentic,throughput_ratio,0.24447193493528543,0.09033808114763238,0.1285341795739945,0.4269174336866781
case_study_3,agentic,control_overhead,0.21785879629629626,0.043355686044107354,0.15891203703703702,0.2947916666666666
case_study_3,agentic,task_completion_proxy,0.004800347222222222,0.005457340083839445,0.0,0.013802083333333333
case_study_3,agentic,system_utility,-49.717510279692114,21.181876695774758,-99.99388605997147,-28.99679446094578
case_study_3,agentic,sat_frac_mean,0.36228536894597246,0.010912844340819718,0.3378329205095818,0.381049215080817
case_study_3,agentic,sat_frac_max,1.0,0.0,1.0,1.0
