case_study,baseline,metric,agentic_mean,baseline_mean,improvement_pct
case_study_3,pid,control_effort_post,899074282.8762289,932155098.2782122,
case_study_3,pid,control_smoothness_pre,10622.891203027557,10938.062793896326,
case_study_3,pid,control_smoothness_fault,10547.429378665713,10041.56609869785,
case_study_3,pid,control_smoothness_post,10884.431966364911,10977.722069303692,
case_study_3,pid,post_vs_pre_error_degradation_pct,40.25960185949284,35.34853330389399,-13.89327391147471
case_study_3,pid,connectivity_retention_pct,54.90413869799062,62.968177534777396,-12.806530461093624
case_study_3,pid,recovery_time_s,,,
case_study_3,openloop,mean_tracking_error_m,35.954572399132026,47.98710117223696,25.074506438547655
case_study_3,openloop,max_tracking_error_m,188.81292690668153,278.01296088894253,32.08484730245855
case_study_3,openloop,rmse_m,42.30935622695149,58.22132560842724,27.33013928348717
case_study_3,openloop,formation_error_rel,20.750524050214157,29.45726385306396,29.557191211919648
case_study_3,openloop,connectivity_rate,0.35889756944444445,0.29637152777777775,21.097182356042424
case_study_3,openloop,throughput_ratio,0.2053411080341379,0.15814075029282576,29.847055647524297
case_study_3,openloop,control_overhead,0.18473379629629627,0.1436458333333333,
case_study_3,openloop,control_effort,900742608.6526327,1072725094.2076156,16.032298161349562
case_study_3,openloop,control_smoothness,10985.78766798941,11288.929706332561,2.6853036224780635
case_study_3,openloop,task_completion_proxy,0.008758680555555556,0.0025434027777777777,244.36860068259386
case_study_3,openloop,system_utility,-54.91060860212396,-75.96250738641203,
case_study_3,openloop,alive_ratio,1.0,1.0,
case_study_3,openloop,steady_state_error_m,65.03686523488595,94.28174083663126,31.01859951060938
case_study_3,openloop,error_variance,638.6080290434104,1407.3256865431767,
case_study_3,openloop,pre_fault_error_m,32.301105336008824,40.16062942817722,19.570221393626987
case_study_3,openloop,fault_window_error_m,29.542607701273443,36.571618305188885,19.219851156868675
case_study_3,openloop,post_fault_error_m,43.92480800074113,56.590648409508354,22.38150783697172
case_study_3,openloop,peak_fault_error_m,62.744916089536765,68.25951349881564,8.078870074827817
case_study_3,openloop,connectivity_pre,0.28520833333333334,0.4227083333333333,-32.52833908329226
case_study_3,openloop,connectivity_fault,0.17010416666666667,0.1353125,25.71208622016936
case_study_3,openloop,connectivity_post,0.16197916666666667,0.13125,23.41269841269841
case_study_3,openloop,control_effort_pre,885918859.0730226,1076379976.6713104,
case_study_3,openloop,control_effort_fault,860432262.66412,1072170629.0122616,
case_study_3,openloop,control_effort_post,899074282.8762289,1085338297.8645298,
case_study_3,openloop,control_smoothness_pre,10622.891203027557,11285.981451476297,
case_study_3,openloop,control_smoothness_fault,10547.429378665713,11418.423164765243,
case_study_3,openloop,control_smoothness_post,10884.431966364911,11088.79443675899,
case_study_3,openloop,post_vs_pre_error_degradation_pct,40.25960185949284,43.6941594156077,7.8604500053341795
case_study_3,openloop,connectivity_retention_pct,54.90413869799062,43.715806904089945,25.593332449398115
case_study_3,openloop,recovery_time_s,,,
