case_study,controller,seed,mean_tracking_error_m,max_tracking_error_m,rmse_m,formation_error_rel,connectivity_rate,throughput_ratio,control_overhead,control_effort,control_smoothness,task_completion_proxy,system_utility,alive_ratio,steady_state_error_m,error_variance,pre_fault_error_m,fault_window_error_m,post_fault_error_m,peak_fault_error_m,connectivity_pre,connectivity_fault,connectivity_post,control_effort_pre,control_effort_fault,control_effort_post,control_smoothness_pre,control_smoothness_fault,control_smoothness_post,post_vs_pre_error_degradation_pct,connectivity_retention_pct,recovery_time_s
case_study_3,pid,5,26.1978416641016,76.32149058722563,28.62783011670892,11.757998464011214,0.5328125,0.3091239702591717,0.2674768518518518,893433951.6881007,11330.799354500421,0.0013020833333333333,-35.29177762811282,1.0,35.89623099210875,133.22574933380878,30.709099549914775,29.767121439424994,36.23357912913225,76.32149058722563,0.16875,0.0,0.31979166666666664,891114942.9036144,786942344.136966,961788961.7253162,10918.809230100585,9622.86401785049,11669.246389965701,17.98971529672484,189.50617283950615,
case_study_3,pid,6,43.49827919064967,155.06968229987626,50.90309438754831,17.774541863099095,0.2790798611111111,0.07588588557251025,0.1319444444444444,896124468.9668652,11265.971160284691,0.0,-59.87742174819321,1.0,77.12424493217934,699.0247256799464,38.451095614249276,44.192425012055274,62.36535374208485,67.64319428586943,0.2791666666666667,0.18541666666666667,0.20520833333333333,853708317.4891349,812746330.7806691,918485869.0155299,10178.573521830254,9041.783087203903,11451.059007811129,62.19395766442969,73.50746268656717,
case_study_3,pid,7,66.21049767989247,381.50677248762145,80.63400421221898,31.788113405459757,0.4447048611111111,0.21421033143521986,0.20190972222222217,907414534.511711,10881.300497935752,0.001388888888888889,-95.77508677979664,1.0,138.0245963250496,2118.012632277104,54.02219749001106,47.60348881524273,69.24656011406641,71.81456135533482,0.5354166666666667,0.3625,0.28854166666666664,880114145.6824814,808111808.5442318,937832970.4911221,11800.130431656267,10915.944870581638,10766.062160836458,28.181679626917074,53.89105058365759,
case_study_3,pid,8,25.035066609161465,65.5553383139837,28.36205405061335,11.434050513155507,0.3411458333333333,0.0585462064665448,0.1458333333333333,892601011.0736728,11233.875525108735,0.002170138888888889,-34.7633879556503,1.0,42.29064697685006,177.6515498447618,22.511016500210804,17.376568044516617,31.116613228244194,30.44434842358099,0.36041666666666666,0.07083333333333333,0.16770833333333332,926760199.9497782,847919697.7232496,900777501.7385464,10788.857601657985,9862.126929089342,10403.738560652826,38.228379104749905,46.531791907514446,
case_study_3,pid,9,32.025672387436266,170.13206128070172,36.374357709081835,16.0571424888855,0.26536458333333335,0.1129781596014711,0.12285879629629627,911959321.2298672,11283.892194215856,0.0019965277777777776,-46.7559919596551,1.0,53.79485106902513,297.45020688084327,27.907739727337585,32.26591526957515,42.92329845920843,49.871235878153435,0.47291666666666665,0.20833333333333334,0.1125,909916443.7354614,815710226.5900302,948982939.2263471,11599.152383155926,10129.532571775151,10551.070820009865,53.804281101138606,23.78854625550661,
case_study_3,pid,10,54.226682934940555,212.5350524942283,63.39425270590165,23.493957640115337,0.30321180555555555,0.17308845750483323,0.13420138888888886,903381591.4000125,10329.692267675968,0.0014756944444444444,-76.20458154727812,1.0,104.91773673256654,1078.298134013145,45.36168093198769,40.50566613105862,59.05045310085634,67.17109912134089,0.5,0.19791666666666666,0.22604166666666667,930403402.5856177,838587989.1291405,964719042.8710997,10331.979228617824,8757.288638840875,11226.17920504749,30.17695087047741,45.208333333333336,
case_study_3,agentic,1,48.02398194522472,325.028097834376,59.21894909027373,24.787596287677925,0.31302083333333336,0.07936408027700037,0.13356481481481478,927617571.0250119,11184.176306971047,0.008072916666666667,-71.24647406623598,1.0,98.19500938915456,1200.581089481161,42.342719571801275,35.34339897440243,53.1054134771059,74.28395871530553,0.12916666666666668,0.0,0.06666666666666667,932022833.0949727,912226648.7517568,908960673.2349412,10587.941008505813,11631.785873134917,11568.149818908194,25.418050645174407,51.61290322580645,
case_study_3,agentic,2,26.19676794447594,77.5517057328682,27.497672727537157,14.31224080375975,0.4465277777777778,0.16966266479492284,0.2341435185185185,906676386.9658444,11503.09543193778,0.0,-38.2763698593468,1.0,34.85237916259991,69.8513546940187,31.8395789289178,24.659645255073542,29.27693909894491,65.06071099202147,0.471875,0.4322916666666667,0.4375,886151101.3270228,846654147.1822262,891981160.2034224,8662.191137257281,10482.255287240338,11281.531770475449,-8.048598367754826,92.71523178807948,
case_study_3,agentic,3,24.44748401076442,64.33320028766234,25.620672456561987,10.325343214592069,0.4786458333333333,0.37777777777777777,0.2468171296296296,892198872.1373949,11040.827133152012,0.013628472222222222,-32.37959805868982,1.0,28.351409878624125,58.739382669852006,25.033504924740694,18.27691022650935,25.53932479875027,31.46016857765111,0.8291666666666667,0.40208333333333335,0.4635416666666667,899260805.5662649,807881094.9534955,900673832.8900778,11705.472603068503,9418.19346281112,11689.526045310498,2.0205715321535793,55.904522613065325,
case_study_3,agentic,4,41.63620787840699,204.5984516747093,49.06784896814144,26.564714782377774,0.15234375,0.03712867458793388,0.06660879629629628,918232539.3895066,10798.05697769181,0.006510416666666667,-67.43920391078478,1.0,80.2667709324263,674.0799958664181,30.018290162047773,32.79647503155526,50.93985542684808,81.91007877664822,0.15416666666666667,0.0,0.0,821426081.5557703,898626037.8371296,912216175.77873,10792.647783504213,11669.509360026244,10744.421985369603,69.69605914214098,0.0,
case_study_3,agentic,5,64.97481889003174,376.09896666153605,82.41355862360643,37.42748730882864,0.4816840277777778,0.3215228725825887,0.24421296296296294,898109182.4891835,10925.343864702298,0.006857638888888889,-99.99388605997147,1.0,136.33924240813388,2570.267555214193,47.80036629294943,54.66205995566179,94.33847454329829,90.3668077518935,0.15416666666666667,0.06875,0.04375,897094941.6729718,918349806.4071343,896395564.2569239,10144.099172785534,10494.313215208453,10309.252658358357,97.35931303357658,28.37837837837838,
case_study_3,agentic,6,23.805804518047793,59.41366385469993,25.906198357294922,10.331900289677654,0.48975694444444445,0.2822107612838117,0.24357638888888886,888769826.318559,10742.584935906618,0.0011284722222222221,-31.68892008550322,1.0,27.307654240630583,104.41478457600542,32.652632966147344,25.770291161420467,34.481444819314675,48.85220557380031,0.5989583333333334,0.3,0.128125,888761685.795842,831750626.1739581,895344213.8652682,10080.651913209502,9400.572846664376,10904.457191967475,5.60080975725098,21.391304347826086,
case_study_3,agentic,7,44.597749939411734,308.03389191945485,52.5748500130962,31.350697767563158,0.20460069444444445,0.04972342341536118,0.0821759259259259,907753036.8666602,11109.225270406549,0.011805555555555555,-74.92544423475267,1.0,85.21769449984869,775.1555542412619,42.92917555897625,40.25053796653438,50.80963772159915,86.17255622605228,0.0,0.0,0.14895833333333333,911795538.4100248,853970666.5101641,895664510.7633331,12399.27819940371,10850.811950364507,10829.886877267998,18.35689146137153,,
case_study_3,agentic,8,27.973482719494537,177.34112955226863,33.71242204455174,18.395408874359877,0.42083333333333334,0.3293259270121324,0.3019097222222221,898897627.7970496,11146.855064554931,0.00920138888888889,-44.26472492718774,1.0,55.385597245542115,354.0116646521183,14.114653514340159,17.012726327768426,36.84463088943186,49.2332659726738,0.13541666666666666,0.05416666666666667,0.25625,911133699.1619929,888419150.6346904,878573202.1878278,11121.423576044132,9211.792904511874,10223.59676252515,161.03815337725845,189.23076923076923,
case_study_3,agentic,9,28.350570923956194,191.21322092686165,35.17184599261578,13.648212317831383,0.29678819444444443,0.18560885881350736,0.15891203703703702,859636337.82747,10075.935500507903,0.013802083333333333,-40.51484226956535,1.0,57.903743368343186,433.3038788140127,24.538086487783072,18.762165780473833,32.22563902819483,37.4916222202668,0.0,0.3416666666666667,0.075,794828602.9397438,785048381.5711495,915369728.6183293,8394.045605601606,11230.839926113076,9835.714834148332,31.329062860053096,,
case_study_3,agentic,10,29.53885522150619,104.5169406223784,31.90954399583557,20.361638855473334,0.30477430555555557,0.22108603979634256,0.13541666666666666,909534705.709647,11331.776194063163,0.01657986111111111,-48.37662254920174,1.0,46.54915122355617,145.67503022506253,31.742044952384465,27.89186633333495,31.68672020392338,62.61778608905465,0.37916666666666665,0.10208333333333333,0.0,916713301.2056205,861396066.6194955,895563766.9634347,12341.161030895286,11084.218960582231,11457.781719318042,-0.17429484629637798,0.0,
