t_s,active_faults,dropout_agent_id,sensor_bad_agent_id,comm_scale
30.5625,comm_degrade,,,0.35
30.583333333333332,comm_degrade,,,0.35
30.604166666666668,comm_degrade,,,0.35
30.625,comm_degrade,,,0.35
30.645833333333332,comm_degrade,,,0.35
30.666666666666668,comm_degrade,,,0.35
30.6875,comm_degrade,,,0.35
30.708333333333332,comm_degrade,,,0.35
30.729166666666668,comm_degrade,,,0.35
30.75,comm_degrade,,,0.35
30.770833333333332,comm_degrade,,,0.35
30.791666666666668,comm_degrade,,,0.35
30.8125,comm_degrade,,,0.35
30.833333333333332,comm_degrade,,,0.35
30.854166666666668,comm_degrade,,,0.35
30.875,comm_degrade,,,0.35
30.895833333333332,comm_degrade,,,0.35
30.916666666666668,comm_degrade,,,0.35
30.9375,comm_degrade,,,0.35
30.958333333333332,comm_degrade,,,0.35
30.979166666666668,comm_degrade,,,0.35
31.0,comm_degrade,,,0.35
31.020833333333332,comm_degrade,,,0.35
31.041666666666668,comm_degrade,,,0.35
31.0625,comm_degrade,,,0.35
31.083333333333332,comm_degrade,,,0.35
31.104166666666668,comm_degrade,,,0.35
31.125,comm_degrade,,,0.35
31.145833333333332,comm_degrade,,,0.35
31.166666666666668,comm_degrade,,,0.35
31.1875,comm_degrade,,,0.35
31.208333333333332,comm_degrade,,,0.35
31.229166666666668,comm_degrade,,,0.35
31.25,comm_degrade,,,0.35
31.270833333333332,comm_degrade,,,0.35
31.291666666666668,comm_degrade,,,0.35
31.3125,comm_degrade,,,0.35
31.333333333333332,comm_degrade,,,0.35
31.354166666666668,comm_degrade,,,0.35
31.375,comm_degrade,,,0.35
31.395833333333332,comm_degrade,,,0.35
31.416666666666668,comm_degrade,,,0.35
31.4375,comm_degrade,,,0.35
31.458333333333332,comm_degrade,,,0.35
31.479166666666668,comm_degrade,,,0.35
31.5,comm_degrade,,,0.35
31.520833333333332,comm_degrade,,,0.35
31.541666666666668,comm_degrade,,,0.35
31.5625,comm_degrade,,,0.35
31.583333333333332,comm_degrade,,,0.35
31.604166666666668,comm_degrade,,,0.35
31.625,comm_degrade,,,0.35
31.645833333333332,comm_degrade,,,0.35
31.666666666666668,comm_degrade,,,0.35
31.6875,comm_degrade,,,0.35
31.708333333333332,comm_degrade,,,0.35
31.729166666666668,comm_degrade,,,0.35
31.75,comm_degrade,,,0.35
31.770833333333332,comm_degrade,,,0.35
31.791666666666668,comm_degrade,,,0.35
31.8125,comm_degrade,,,0.35
31.833333333333332,comm_degrade,,,0.35
31.854166666666668,comm_degrade,,,0.35
31.875,comm_degrade,,,0.35
31.895833333333332,comm_degrade,,,0.35
31.916666666666668,comm_degrade,,,0.35
31.9375,comm_degrade,,,0.35
31.958333333333332,comm_degrade,,,0.35
31.979166666666668,comm_degrade,,,0.35
32.0,comm_degrade,,,0.35
32.020833333333336,comm_degrade,,,0.35
32.041666666666664,comm_degrade,,,0.35
32.0625,comm_degrade,,,0.35
32.083333333333336,comm_degrade,,,0.35
32.104166666666664,comm_degrade,,,0.35
32.125,comm_degrade,,,0.35
32.145833333333336,comm_degrade,,,0.35
32.166666666666664,comm_degrade,,,0.35
32.1875,comm_degrade,,,0.35
32.208333333333336,comm_degrade,,,0.35
32.229166666666664,comm_degrade,,,0.35
32.25,comm_degrade,,,0.35
32.270833333333336,comm_degrade,,,0.35
32.291666666666664,comm_degrade,,,0.35
32.3125,comm_degrade,,,0.35
32.333333333333336,comm_degrade,,,0.35
32.354166666666664,comm_degrade,,,0.35
32.375,comm_degrade,,,0.35
32.395833333333336,comm_degrade,,,0.35
32.416666666666664,comm_degrade,,,0.35
32.4375,comm_degrade,,,0.35
32.458333333333336,comm_degrade,,,0.35
